Rank,Released,Movie,"Domestic
Box Office","International
Box Office","Worldwide
Box Office"
801,1990,Graffiti Bridge,"$4,562,778",,"$4,562,778"
802,1998,Dangerous Beauty,"$4,553,271",,"$4,553,271"
803,1994,Black Beauty,"$4,428,830",,"$4,428,830"
804,2002,The Adventures of Pluto Nash,"$4,411,102","$2,683,893","$7,094,995"
805,2004,Spartan,"$4,357,745","$228,588","$4,586,333"
806,1996,Bogus,"$4,357,406",,"$4,357,406"
807,1990,Lambada,"$4,248,622",,"$4,248,622"
808,2005,"Kiss Kiss, Bang Bang","$4,235,837","$12,593,627","$16,829,464"
809,2015,The Water Diviner,"$4,200,117","$26,854,610","$31,054,727"
810,1993,This Boy's Life,"$4,104,962",,"$4,104,962"
811,2007,The Assassination of Jesse James by the Coward …,"$3,909,149","$11,404,482","$15,313,631"
812,2021,Reminiscence,"$3,900,193","$11,549,129","$15,449,322"
813,1980,When Time Ran Out...,"$3,763,988",,"$3,763,988"
814,1988,Imagine: John Lennon,"$3,753,977",,"$3,753,977"
815,1999,Liberty Heights,"$3,732,398",,"$3,732,398"
816,1995,Born to be Wild,"$3,730,409",,"$3,730,409"
817,2016,Midnight Special,"$3,712,282","$3,967,968","$7,680,250"
818,1982,Honkytonk Man,"$3,695,409",,"$3,695,409"
819,2015,We Are Your Friends,"$3,591,417","$6,561,998","$10,153,415"
820,1997,Cats Don't Dance,"$3,588,602",,"$3,588,602"
821,1998,Major League: Back to the Minors,"$3,551,208",,"$3,551,208"
822,1989,In Country,"$3,531,971",,"$3,531,971"
823,1997,Free Willy 3: The Rescue,"$3,519,178",,"$3,519,178"
824,1970,The Ballad of Cable Hogue,"$3,500,000","$1,500,000","$5,000,000"
825,1996,Carpool,"$3,325,651",,"$3,325,651"
826,2014,Veronica Mars,"$3,322,127","$163,256","$3,485,383"
827,1981,Looker,"$3,281,232",,"$3,281,232"
828,1994,Silent Fall,"$3,180,000",,"$3,180,000"
829,1993,Mr. Wonderful,"$3,125,000",,"$3,125,000"
830,1988,Feds,"$3,000,000",,"$3,000,000"
831,2004,Clifford's Really Big Movie,"$2,922,354","$333,072","$3,255,426"
832,1993,Airborne,"$2,859,811",,"$2,859,811"
833,1994,The Hudsucker Proxy,"$2,816,518","$12,121,631","$14,938,149"
834,2014,The Good Lie,"$2,722,209","$63,354","$2,785,563"
835,1990,Impulse,"$2,531,528",,"$2,531,528"
836,1983,Table for Five,"$2,400,000",,"$2,400,000"
837,1986,‘Round Midnight,"$2,391,211",,"$2,391,211"
838,1990,"White Hunter, Black Heart","$2,319,124",,"$2,319,124"
839,1980,Gilda Live,"$2,261,507",,"$2,261,507"
840,2001,The Dish,"$2,252,970","$14,000,000","$16,252,970"
841,2020,Scoob!,"$2,188,425","$24,087,786","$26,276,211"
842,1988,Bird,"$2,181,286",$426,"$2,181,712"
843,1999,A Dog of Flanders,"$2,165,637",,"$2,165,637"
844,1998,Tarzan and the Lost City,"$2,147,114",,"$2,147,114"
845,1993,The Nutcracker,"$2,119,994",,"$2,119,994"
846,1982,Personal Best,"$2,119,003",,"$2,119,003"
847,1980,Just Tell Me What You Want,"$2,086,905",,"$2,086,905"
848,1996,Big Bully,"$2,042,530",,"$2,042,530"
849,2004,We Don't Live Here Anymore,"$2,037,545","$276,260","$2,313,805"
850,1981,Sphinx,"$2,000,000","$9,400,000","$11,400,000"
851,1981,The Hand,"$2,000,000",,"$2,000,000"
852,1956,The Wrong Man,"$2,000,000",$22,"$2,000,022"
853,1996,Surviving Picasso,"$1,993,899",,"$1,993,899"
854,2018,Tang Ren Jie Tan An 2,"$1,983,984","$542,084,590","$544,068,574"
855,1990,Yume,"$1,963,207","$803,926","$2,767,133"
856,1986,The Clan of the Cave Bear,"$1,953,732",,"$1,953,732"
857,1999,"Goodbye, Lover","$1,940,299",,"$1,940,299"
858,2005,A Sound of Thunder,"$1,900,451","$4,400,000","$6,300,451"
859,2015,Game of Thrones: The IMAX Experience,"$1,896,092",,"$1,896,092"
860,1998,The Butcher Boy,"$1,822,193",,"$1,822,193"
861,1989,Cookie,"$1,755,480",,"$1,755,480"
862,2010,Flipped,"$1,755,212","$2,539,423","$4,294,635"
863,2016,The Harry Potter IMAX Marathon,"$1,729,226","$66,262,964","$67,992,190"
864,1997,Steel,"$1,686,429",,"$1,686,429"
865,1957,The Prince and the Showgirl,"$1,600,000",,"$1,600,000"
866,1994,Chasers,"$1,596,700",,"$1,596,700"
867,2019,Western Stars,"$1,581,681","$2,000,000","$3,581,681"
868,1984,Finders Keepers,"$1,500,000",,"$1,500,000"
869,1993,M. Butterfly,"$1,498,795",,"$1,498,795"
870,1994,Being Human,"$1,461,200",,"$1,461,200"
871,1933,42nd Street,"$1,438,000","$843,000","$2,281,000"
872,1985,American Flyers,"$1,420,355",,"$1,420,355"
873,1992,South Central,"$1,373,196",,"$1,373,196"
874,2006,The Good German,"$1,308,696","$5,369,337","$6,678,033"
875,1984,Mike's Murder,"$1,100,000",,"$1,100,000"
876,1983,Of Unknown Origin,"$1,080,470",,"$1,080,470"
877,1996,Bad Moon,"$1,065,431",,"$1,065,431"
878,1980,Heart Beat,"$954,046",,"$954,046"
879,1984,Purple Hearts,"$952,478",,"$952,478"
880,2004,Criminal,"$929,233","$13,543","$942,776"
881,2009,Chandni Chowk to China,"$921,738",,"$921,738"
882,2005,Duma,"$870,067","$124,723","$994,790"
883,1997,Anna Karenina,"$858,553",,"$858,553"
884,1994,Cobb,"$849,490",,"$849,490"
885,1980,One Trick Pony,"$843,215",,"$843,215"
886,1985,The Protector,"$829,239",,"$829,239"
887,1998,Without Limits,"$780,326",,"$780,326"
888,1990,Listen Up: Quincy Jones,"$765,909",,"$765,909"
889,1991,Until the End of the World,"$752,856",,"$752,856"
890,2002,The Salton Sea,"$676,698",,"$676,698"
891,2001,Charlotte Gray,"$668,140",,"$668,140"
892,2019,Nancy Drew and the Hidden Staircase,"$623,088","$1,461","$624,549"
893,1995,Les Misérables,"$620,498",,"$620,498"
894,1981,Eyes of a Stranger,"$546,724",,"$546,724"
895,1969,The Wild Bunch,"$509,424",,"$509,424"
896,1998,Warners 75th,"$498,426",,"$498,426"
897,1985,Mishima: A Life in Four Chapters,"$437,547",,"$437,547"
898,2001,The Affair of the Necklace,"$430,313",,"$430,313"
899,1981,This is Elvis,"$429,146",,"$429,146"
900,1994,Body Snatchers,"$428,868",,"$428,868"
901,2000,Into the Arms of Strangers: Stories of the Kind…,"$382,807","$88,145","$470,952"
902,2002,Welcome to Collinwood,"$378,650","$4,227,634","$4,606,284"
903,2008,Towelhead,"$372,124","$28,631","$400,755"
904,1985,Revolution,"$346,761",,"$346,761"
905,1984,Windy City,"$343,890",,"$343,890"
906,1985,Eleni,"$305,102",,"$305,102"
907,1995,Empire Records,"$303,841",,"$303,841"
908,2005,Dominion: Prequel to the Exorcist,"$251,495",,"$251,495"
909,1994,The New Age,"$245,217",,"$245,217"
910,2008,Chaos Theory,"$240,476",,"$240,476"
911,1974,The Wicker Man,"$206,242","$284,763","$491,005"
912,2000,The Big Tease,"$185,577",,"$185,577"
913,1983,Independence Day,"$151,462",,"$151,462"
914,1984,Razorback,"$138,643",,"$138,643"
915,2010,Pure Country 2: The Gift,"$133,771",,"$133,771"
916,1994,Police Academy 7: Mission to Moscow,"$126,247",,"$126,247"
917,1982,Five Days One Summer,"$121,867",,"$121,867"
918,1994,Arizona Dream,"$106,000",,"$106,000"
919,1995,The Stars Fell on Henrietta,"$99,318",,"$99,318"
920,1985,Fandango,"$86,134",,"$86,134"
921,1995,Second Best,"$86,115",,"$86,115"
922,1996,Sweet Nothing,"$79,249",,"$79,249"
923,1982,Bugs Bunny's 3rd Movie: 1001 Rabbit Tales,"$78,350",,"$78,350"
924,2015,Batkid Begins: The Wish Heard Around the World,"$74,709",,"$74,709"
925,1994,A Troll in Central Park,"$71,368",,"$71,368"
926,1986,"Un homme et une femme, 20 ans déjà","$56,821",,"$56,821"
927,1982,AC/DC: Let There Be Rock,"$52,590",,"$52,590"
928,1982,Love Child,"$50,091",,"$50,091"
929,1983,Blue Skies Again,"$46,603",,"$46,603"
930,2015,Lost River,"$45,431","$1,964,213","$2,009,644"
931,1999,Shiloh 2: Shiloh Season,"$33,000",,"$33,000"
932,1973,Mean Streets,"$32,645","$17,894","$50,539"
933,1989,Checking Out,"$31,000",,"$31,000"
934,1983,Better Late Than Never,"$24,164",,"$24,164"
935,2007,Rails & Ties,"$22,136",,"$22,136"
936,1960,Letyat zhuravli,"$17,923",,"$17,923"
937,1973,La nuit américaine,"$17,808",,"$17,808"
938,1986,The Frog Prince,"$14,845",,"$14,845"
939,2018,Head Full of Honey,"$12,350","$126,595","$138,945"
940,1982,Hammett,"$8,222",,"$8,222"
941,1992,The Magical World of Chuck Jones,"$6,682",,"$6,682"
942,1970,THX 1138,"$5,000",,"$5,000"
943,1995,War of the Buttons,"$5,000",,"$5,000"
944,1997,Breaking Up,"$5,000",,"$5,000"
945,1996,The Sunchaser,"$5,000",,"$5,000"
946,1997,Trojan War,$217,,$217
